sub_cat_count,product_count,stores,stores_count
133,2892,100022-100049,2
138,3371,100020-100089,2
153,3515,100049-100089,2
149,3488,100020-100088,2
119,2057,100023,1
137,3376,100020-100023,2
90,1312,100022,1
110,1810,100049,1
127,2727,100022-100089,2
141,2094,100088,1
163,4073,100024-100088,2
155,4165,100020-100024,2
140,2902,100024,1
147,3410,100023-100088,2
123,2036,100020,1
124,2721,100084,1
95,1154,100026,1
123,2004,100089,1
151,4398,100020-100023-100088,3
133,3233,100023-100089,2
147,3360,100088-100089,2
151,4375,100020-100088-100089,3
154,4081,100024-100089,2
128,2937,100020-100022,2
108,1611,100063,1
80,1430,100044,1
152,3331,100063-100089,2
143,4240,100020-100023-100089,3
158,4999,100020-100024-100089,3
157,5088,100049-100084-100089,3
145,3209,100044-100089,2
137,3326,100026-100084,2
138,3809,100084-100089,2
130,3370,100022-100084,2
150,4133,100049-100084,2
152,3485,100020-100049,2
111,2035,100049-100063,2
91,1911,100035,1
114,3014,100035-100044,2
137,3412,100035-100089,2
166,4877,100024-100088-100089,3
167,5615,100020-100024-100088-100089,4
131,3152,100035-100063,2
110,1975,100044-100049,2
123,2562,100022-100044,2
153,3544,100023-100049,2
111,2117,100044-100049-100063,3
160,4660,100020-100049-100089,3
155,4240,100022-100023-100049,3
138,2711,100026-100089,2
110,1908,100044-100063,2
119,2159,100022-100026,2
133,2709,100022-100063,2
153,5003,100020-100023-100088-100089,4
155,4607,100026-100049-100084,3
154,4112,100022-100049-100089,3
136,2698,100026-100049,2
126,2880,100022-100023,2
131,3511,100035-100049-100063,3
131,3460,100035-100044-100049,3
164,3538,100049-100088,2
131,3580,100035-100044-100049-100063,4
139,4202,100022-100084-100089,3
158,5410,100022-100049-100084-100089,4
152,4672,100022-100049-100084,3
151,3979,100063-100084,2
131,3326,100035-100049,2
143,3857,100022-100026-100084,3
157,5058,100022-100026-100049-100084,4
153,4257,100020-100022-100049,3
137,3976,100020-100084,2
142,3853,100044-100084,2
140,3294,100022-100026-100089,3
114,1819,100096,1
143,4749,100020-100084-100089,3
139,4338,100022-100023-100084,3
161,5887,100020-100049-100084-100089,4
137,3884,100023-100084,2
134,3987,100035-100084,2
149,4516,100087,1
161,3137,100079,1
138,4447,100020-100022-100084,3
131,3427,100082-100096,2
122,2433,100082,1
126,2865,100099,1
0,0,100098,1
123,1630,100019,1
132,2232,100018,1
169,4546,100018-100079,2
167,5017,100020-100024-100088,3
122,1685,100017,1
168,4262,100017-100079,2
173,5013,100024-100079,2
167,4559,100018-100073,2
162,5017,100020-100023-100024,3
149,3696,100022-100024,2
177,5778,100024-100079-100088,3
153,4139,100018-100024,2
171,4471,100079-100088,2
172,4492,100073-100088,2
172,5024,100024-100073,2
169,3875,100073-100079,2
157,4138,100023-100024,2
164,3295,100073,1
169,4185,100019-100079,2
147,3338,100017-100018,2
171,5033,100018-100073-100079,3
152,3351,100023-100063,2
165,3367,100063-100088,2
153,3562,100018-100088,2
134,2603,100016-100018,2
170,4293,100017-100073,2
129,2286,100083,1
137,3294,100017-100083,2
27,495,100016,1
164,3564,100016-100073,2
159,3225,100044-100088,2
145,3232,100023-100044,2
114,1748,100045,1
83,1712,100042,1
171,4268,100019-100073,2
173,5257,100018-100019-100073,3
167,4597,100079-100083,2
168,4449,100023-100079,2
148,3764,100018-100083,2
