"product_id","vertical_id","bar_code","brand","name","variety","quantity","quantity_qualifier","packaged_quantity","packaged_quantity_qualifier","discount","expiry_date","frag_flav_scent","fulfillment_tag","offer_percentage","offer_text","offer_value","product_display_order","seed_seedless","seller_name","state","type_by_colour","type_by_organic","type_by_pesticide","type_by_state_of_product","type_of_packing","vat_pcnt","mrp","ola_selling_price","primary_category_path","secondary_category_path","image_url","product_status"
"VGTYIK388FTZ","vegetable",,,"Brinjal",,"500","gm",,,,,,"Other Vegetables",,,,"1",,,,"Green",,,,,,"25","25","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://www.in.all.biz/img/in/catalog/270864.jpeg","current"
"CVGRGD9D16J8","cut_vegetable",,,"Onion","Thin","500","gm",,,,,,"Cut Vegetables",,,,"2",,,,,,,"Sliced",,,,,"Fruits & Vegetables>Cut Vegetables",,"http://www.johnnyprimesteaks.com/wp-content/uploads/2014/12/red-onion-powerful-natural-antibiotic-that-can-treat-the-following-health-conditions1.jpg","hidden"
"CVGE70KXTI1J","cut_vegetable",,,"Broccoli",,"500","gm",,,,,,"Cut Vegetables",,,,"1",,,,,,,"Florets",,,,,"Fruits & Vegetables>Cut Vegetables",,"http://scene7.samsclub.com/is/image/samsclub/0070935189133_A?$img_size_380x380$","hidden"
"VGTZYCPTNK72","vegetable",,,"Beans","Double","500","gm",,,,,,"Other Vegetables",,,,"2",,,,,,,,,,"30","30","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://portfolio.milliardinfotech.com/foodle/product-description/grocrey/pulses/files/product/resize/big/127.jpg","current"
"FJCTFP54RPPP","fruit",,,"Jackfruit","Unripened","2.5","Kg",,,,,,"Others",,,,"3",,,,,,,,,,"175","175","Fruits & Vegetables>Fresh Fruits>Others",,"http://seedenvy.com/wp-content/uploads/2013/08/jack-fruit-wh.jpg","current"
"FJCHRISZBMOY","fruit",,,"Mango","Himapasand","1","Kg","(5 to 8 pcs)",,,,,"Mango",,,,"1",,,,,,,,,,"120","120","Fruits & Vegetables>Fresh Fruits>Mango",,"http://www.freshfruitportal.com/wp-content/uploads/2013/05/mango_47852692.jpg","hidden"
"CVGF8L7J368A","cut_vegetable",,,"Carrot (gajar)",,"1","Kg",,,,,,"Cut Vegetables",,,,"2",,,,,,,"Julienne",,,,,"Fruits & Vegetables>Cut Vegetables",,"http://cdn.shopify.com/s/files/1/0206/9470/products/carrot_julienne_1024x1024.jpg?v=1410737712","hidden"
"VGTGJJ2O4ISS","vegetable",,,"Beans","French","250","gm",,,,,,"Other Vegetables",,,,"0",,,,,,,,,,"20","20","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://freshnpack.com/assets/upload/product/French_Beans__(Fansi)_1392595200.png","current"
"VGTR7I6Q5M6V","vegetable",,,"Lettuce","Lolla Rossa","100","gm",,,,,,"Exotic Vegetables",,,,"0",,,,,,,,,,"7","7","Fruits & Vegetables>Fresh Vegetables>Exotic Vegetables",,"http://www.organicseed.co.za/212-573-thickbox/lollo-rossa-darkness-lettuce.jpg","current"
"CVGJDZINSTDK","cut_vegetable",,,"Amaranthus",,"500","gm",,,,,,"Cut Vegetables",,,,"2",,,,"Red",,,"Chopped",,,"90","90","Fruits & Vegetables>Cut Vegetables",,"http://vegrec.vegrecipesofindi.netdna-cdn.com/wp-content/uploads/2015/02/tambdi-bhaji-recipe2.jpg","current"
"OVGLQBI3JK6C","organic_vegetable",,,"Garlic",,"250","gm",,,,,,"Organic Vegetables",,,,"1",,,,,"Organic",,,,,"39","39","Fruits & Vegetables>Organic Vegetables",,"http://garlicoleoresin.com/images/main.jpg","current"
"VGT449I0DMFR","vegetable",,,"Cucumber (kheera)","Hybrid","1","Kg","(8 to 10 pcs)",,,,,"Other Vegetables",,,,"2",,,,,,,,,,"17","17","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://www.indamseeds.com/sites/default/files/Picture26.jpg?1367044487","current"
"CVGYTAE8FXEH","cut_vegetable",,,"Beans","Cowpea","250","gm",,,,,,"Cut Vegetables",,,,"0",,,,,,,"Diced",,,"16","16","Fruits & Vegetables>Cut Vegetables",,"http://beprepared.com/wordpress/wp-content/uploads/2013/11/iStock_000015136319XSmall-diced-green-beans-300x200.jpg","current"
"VGT7NCNG4N1R","vegetable",,,"Baby Corn",,"500","gm",,,,,,"Other Vegetables",,,,"2",,,,,,,,,,"75","75","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://www.lasalad.com/images/Web%20Use/Baby%20Corn.jpg","current"
"OVG84BT62PSB","organic_vegetable",,,"Tomato","Hybrid","500","gm","(6 to 10 pcs)",,,,,"Organic Vegetables",,,,"1",,,,,"Organic",,,,,"6","6","Fruits & Vegetables>Organic Vegetables",,"http://bigbasket.com/media/uploads/p/l/10000201_9-fresho-tomato-hybrid-grade-a.jpg","current"
"VGTC33K1E72O","vegetable",,,"Tomato","Country","250","gm","(2 to 6 pcs)",,,,,"Tomato",,,,"2",,,,,,,,,,"4","4","Fruits & Vegetables>Fresh Vegetables>Potato, Onion & Tomato",,"https://www.agra-net.net/agra/incoming/article468587.ece/ALTERNATES/w620/tomatoes+on+white_65233660.jpg","current"
"VGTDQWDHLNVP","vegetable",,,"Lemon",,"1","Kg","(15 to 20 pcs)",,,,,"Lemon",,,,"3",,,,,,,,,,"90","90","Fruits & Vegetables>Fresh Vegetables>Chilli, Lemon, Garlic & Ginger",,"http://www.fut-science.com/wp-content/uploads/2014/06/Lemon.jpg","current"
"VGTEZLXGOJ0X","vegetable",,,"Brinjal","Varikatri","500","gm","(5 to 7 pcs)",,,,,"Other Vegetables",,,,"1",,,,,,,,,,"13","13","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://bigbasket.com/media/uploads/p/l/10000059_14-fresho-brinjal-varikatri-grade-a.jpg","current"
"VGTSLILFPG4Z","vegetable",,,"Chow Chow",,"500","gm",,,,,,"Other Vegetables",,,,"1",,,,,,,,,,"20","20","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://buyvegetableonline.com/image/cache/data/chow-chow_buyvegetableonline-500x500.jpg","current"
"VGTKK2B7NF97","vegetable",,,"Beans","French (Stringless)","1","Kg",,,,,,"Other Vegetables",,,,"2",,,,,,,,,,"68","68","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ2lRMkRa8y4V9HwQuVUdd5ktTM8cCrjz3NEesPkroOxCyQhR9UpQ","current"
"FJC3T37NR93Y","fruit",,,"Grapes","Imported","1","Kg",,,,,,"Others",,,,"3",,,,,,,,,,"480","480","Fruits & Vegetables>Fresh Fruits>Others",,"http://images.nitrosell.com/product_images/13/3108/large-grapes-red-imported-united.jpg","hidden"
"VGTUYGHVDKB1","vegetable",,,"Potato",,"1","Kg",,,,,,"Potato",,,,"0",,,,,,,,,,"19","19","Fruits & Vegetables>Fresh Vegetables>Potato, Onion & Tomato",,"http://www.exeterengineering.com/wp-content/uploads/2014/07/potatoes.jpg","current"
"FJCUKX8C6CXT","fruit",,,"Plums",,"500","gm",,,,,,"Exotic Fruits",,,,"1",,,,,,,,,,"225","225","Fruits & Vegetables>Fresh Fruits>Exotic Fruits",,"https://upload.wikimedia.org/wikipedia/commons/2/24/Red-Plums.jpg","current"
