id,cluster_sub_cat_count,cluster_product_count,geo_product_count,geo_sub_cat_count,cluster_id,clusters_count
tdr158g,140,2902,2902,140,100024,1
tdr158g,-1,-1,2902,140,NN,1
tdr158q,140,2902,2902,140,100024,1
tdr158q,-1,-1,2902,140,NN,1
tdr158r,140,2902,2902,140,100024,1
tdr158r,-1,-1,2902,140,NN,1
tdr158s,140,2902,2902,140,100024,1
tdr158s,-1,-1,2902,140,NN,1
tdr158t,140,2902,2902,140,100024,1
tdr158t,-1,-1,2902,140,NN,1
tdr158u,140,2902,2902,140,100024,1
tdr158u,-1,-1,2902,140,NN,1
tdr158v,140,2902,2902,140,100024,1
tdr158v,-1,-1,2902,140,NN,1
tdr158w,140,2902,2902,140,100024,1
tdr158w,-1,-1,2902,140,NN,1
tdr158x,140,2902,2902,140,100024,1
tdr158x,-1,-1,2902,140,NN,1
tdr158y,140,2902,2902,140,100024,1
tdr158y,-1,-1,2902,140,NN,1
tdr158z,140,2902,2902,140,100024,1
tdr158z,-1,-1,2902,140,NN,1
tdr1595,140,2902,2902,140,100024,1
tdr1595,-1,-1,2902,140,NN,1
tdr1596,140,2902,2902,140,100024,1
tdr1596,-1,-1,2902,140,NN,1
tdr1597,140,2902,2902,140,100024,1
tdr1597,-1,-1,2902,140,NN,1
tdr1599,140,2902,2902,140,100024,1
tdr1599,-1,-1,2902,140,NN,1
tdr159b,140,2902,2902,140,100024,1
tdr159b,-1,-1,2902,140,NN,1
tdr159c,140,2902,2902,140,100024,1
tdr159c,-1,-1,2902,140,NN,1
tdr159d,140,2902,2902,140,100024,1
tdr159d,-1,-1,2902,140,NN,1
tdr159e,140,2902,2902,140,100024,1
tdr159e,-1,-1,2902,140,NN,1
tdr159f,140,2902,2902,140,100024,1
tdr159f,-1,-1,2902,140,NN,1
tdr159g,140,2902,2902,140,100024,1
tdr159g,-1,-1,2902,140,NN,1
tdr159h,140,2902,2902,140,100024,1
tdr159h,-1,-1,2902,140,NN,1
tdr159j,140,2902,2902,140,100024,1
tdr159j,-1,-1,2902,140,NN,1
tdr159k,140,2902,2902,140,100024,1
tdr159k,-1,-1,2902,140,NN,1
tdr159m,140,2902,2902,140,100024,1
tdr159m,-1,-1,2902,140,NN,1
tdr159n,140,2902,2902,140,100024,1
tdr159n,-1,-1,2902,140,NN,1
tdr159p,140,2902,2902,140,100024,1
tdr159p,-1,-1,2902,140,NN,1
tdr159q,140,2902,2902,140,100024,1
tdr159q,-1,-1,2902,140,NN,1
tdr159r,140,2902,2902,140,100024,1
tdr159r,-1,-1,2902,140,NN,1
tdr159s,140,2902,2902,140,100024,1
tdr159s,-1,-1,2902,140,NN,1
tdr159t,140,2902,2902,140,100024,1
tdr159t,-1,-1,2902,140,NN,1
tdr159u,140,2902,2902,140,100024,1
tdr159u,-1,-1,2902,140,NN,1
tdr159v,140,2902,2902,140,100024,1
tdr159v,-1,-1,2902,140,NN,1
tdr159w,140,2902,2902,140,100024,1
tdr159w,-1,-1,2902,140,NN,1
tdr159x,140,2902,2902,140,100024,1
tdr159x,-1,-1,2902,140,NN,1
tdr159y,140,2902,2902,140,100024,1
tdr159y,-1,-1,2902,140,NN,1
tdr159z,140,2902,2902,140,100024,1
tdr159z,-1,-1,2902,140,NN,1
tdr15b2,140,2902,2902,140,100024,1
tdr15b2,-1,-1,2902,140,NN,1
tdr15b3,140,2902,2902,140,100024,1
tdr15b3,-1,-1,2902,140,NN,1
tdr15b6,140,2902,2902,140,100024,1
tdr15b6,-1,-1,2902,140,NN,1
tdr15b7,140,2902,2902,140,100024,1
tdr15b7,-1,-1,2902,140,NN,1
tdr15b8,140,2902,2902,140,100024,1
tdr15b8,-1,-1,2902,140,NN,1
tdr15b9,140,2902,2902,140,100024,1
tdr15b9,-1,-1,2902,140,NN,1
tdr15bb,140,2902,2902,140,100024,1
tdr15bb,-1,-1,2902,140,NN,1
tdr15bc,140,2902,2902,140,100024,1
tdr15bc,-1,-1,2902,140,NN,1
tdr15bd,140,2902,2902,140,100024,1
tdr15bd,-1,-1,2902,140,NN,1
tdr15be,140,2902,2902,140,100024,1
tdr15be,-1,-1,2902,140,NN,1
tdr15bf,140,2902,2902,140,100024,1
tdr15bf,-1,-1,2902,140,NN,1
tdr15bg,140,2902,2902,140,100024,1
tdr15bg,-1,-1,2902,140,NN,1
tdr15bk,140,2902,2902,140,100024,1
tdr15bk,-1,-1,2902,140,NN,1
tdr15bm,140,2902,2902,140,100024,1
tdr15bm,-1,-1,2902,140,NN,1
tdr15bq,140,2902,2902,140,100024,1
tdr15bq,-1,-1,2902,140,NN,1
tdr15br,140,2902,2902,140,100024,1
tdr15br,-1,-1,2902,140,NN,1
tdr15bs,140,2902,2902,140,100024,1
tdr15bs,-1,-1,2902,140,NN,1
tdr15bt,140,2902,2902,140,100024,1
tdr15bt,-1,-1,2902,140,NN,1
tdr15bu,140,2902,2902,140,100024,1
tdr15bu,-1,-1,2902,140,NN,1
tdr15bv,140,2902,2902,140,100024,1
tdr15bv,-1,-1,2902,140,NN,1
tdr15bw,140,2902,2902,140,100024,1
tdr15bw,-1,-1,2902,140,NN,1
tdr15bx,140,2902,2902,140,100024,1
tdr15bx,-1,-1,2902,140,NN,1
tdr15by,140,2902,2902,140,100024,1
tdr15by,-1,-1,2902,140,NN,1
tdr15bz,140,2902,2902,140,100024,1
tdr15bz,-1,-1,2902,140,NN,1
tdr15c0,140,2902,2902,140,100024,1
tdr15c0,-1,-1,2902,140,NN,1
tdr15c1,140,2902,2902,140,100024,1
tdr15c1,-1,-1,2902,140,NN,1
tdr15c2,140,2902,2902,140,100024,1
tdr15c2,-1,-1,2902,140,NN,1
tdr15c3,140,2902,2902,140,100024,1
tdr15c3,-1,-1,2902,140,NN,1
tdr15c4,140,2902,2902,140,100024,1
tdr15c4,-1,-1,2902,140,NN,1
tdr15c5,140,2902,2902,140,100024,1
tdr15c5,-1,-1,2902,140,NN,1
tdr15c6,140,2902,2902,140,100024,1
tdr15c6,-1,-1,2902,140,NN,1
tdr15c7,140,2902,2902,140,100024,1
tdr15c7,-1,-1,2902,140,NN,1
tdr15c8,140,2902,2902,140,100024,1
tdr15c8,-1,-1,2902,140,NN,1
tdr15c9,140,2902,2902,140,100024,1
tdr15c9,-1,-1,2902,140,NN,1
tdr15cb,140,2902,2902,140,100024,1
tdr15cb,-1,-1,2902,140,NN,1
tdr15cc,140,2902,2902,140,100024,1
tdr15cc,-1,-1,2902,140,NN,1
tdr15cd,140,2902,2902,140,100024,1
tdr15cd,-1,-1,2902,140,NN,1
tdr15ce,140,2902,2902,140,100024,1
tdr15ce,-1,-1,2902,140,NN,1
tdr15cf,140,2902,2902,140,100024,1
tdr15cf,-1,-1,2902,140,NN,1
tdr15cg,140,2902,2902,140,100024,1
tdr15cg,-1,-1,2902,140,NN,1
tdr15ch,140,2902,2902,140,100024,1
tdr15ch,-1,-1,2902,140,NN,1
tdr15cj,140,2902,2902,140,100024,1
tdr15cj,-1,-1,2902,140,NN,1
tdr15ck,140,2902,2902,140,100024,1
tdr15ck,-1,-1,2902,140,NN,1
tdr15cm,140,2902,2902,140,100024,1
tdr15cm,-1,-1,2902,140,NN,1
tdr15cn,140,2902,2902,140,100024,1
tdr15cn,-1,-1,2902,140,NN,1
tdr15cp,140,2902,2902,140,100024,1
tdr15cp,-1,-1,2902,140,NN,1
tdr15cq,140,2902,2902,140,100024,1
tdr15cq,-1,-1,2902,140,NN,1
tdr15cr,140,2902,2902,140,100024,1
tdr15cr,-1,-1,2902,140,NN,1
tdr15cs,140,2902,2902,140,100024,1
tdr15cs,-1,-1,2902,140,NN,1
tdr15ct,140,2902,2902,140,100024,1
tdr15ct,-1,-1,2902,140,NN,1
tdr15cu,140,2902,2902,140,100024,1
tdr15cu,-1,-1,2902,140,NN,1
tdr15cv,140,2902,2902,140,100024,1
tdr15cv,-1,-1,2902,140,NN,1
tdr15cw,140,2902,2902,140,100024,1
tdr15cw,-1,-1,2902,140,NN,1
tdr15cx,140,2902,2902,140,100024,1
tdr15cx,-1,-1,2902,140,NN,1
tdr15cy,140,2902,2902,140,100024,1
tdr15cy,-1,-1,2902,140,NN,1
tdr15cz,140,2902,2902,140,100024,1
tdr15cz,-1,-1,2902,140,NN,1
tdr15d0,140,2902,2902,140,100024,1
tdr15d0,-1,-1,2902,140,NN,1
tdr15d1,140,2902,2902,140,100024,1
tdr15d1,-1,-1,2902,140,NN,1
tdr15d2,140,2902,2902,140,100024,1
tdr15d2,-1,-1,2902,140,NN,1
tdr15d3,140,2902,2902,140,100024,1
tdr15d3,-1,-1,2902,140,NN,1
tdr15d4,140,2902,2902,140,100024,1
tdr15d4,-1,-1,2902,140,NN,1
tdr15d5,140,2902,2902,140,100024,1
tdr15d5,-1,-1,2902,140,NN,1
tdr15d6,140,2902,2902,140,100024,1
tdr15d6,-1,-1,2902,140,NN,1
tdr15d7,140,2902,2902,140,100024,1
tdr15d7,-1,-1,2902,140,NN,1
tdr15ry,140,2902,6357,163,100024,5
tdr15ry,123,2036,6357,163,100020,5
tdr15sn,140,2902,4999,158,100024,3
tdr15sn,123,2036,4999,158,100020,3
tdr15sm,140,2902,4999,158,100024,3
tdr15sm,123,2036,4999,158,100020,3
tdr15sk,140,2902,4999,158,100024,3
tdr15sk,123,2036,4999,158,100020,3
tdr15sj,140,2902,4999,158,100024,3
tdr15sj,123,2036,4999,158,100020,3
tdr15sh,140,2902,4999,158,100024,3
tdr15sh,123,2036,4999,158,100020,3
tdr15sg,140,2902,4999,158,100024,3
tdr15sg,123,2036,4999,158,100020,3
tdr15st,140,2902,4999,158,100024,3
tdr15st,123,2036,4999,158,100020,3
tdr15ss,140,2902,4999,158,100024,3
tdr15ss,123,2036,4999,158,100020,3
tdr15sr,140,2902,4999,158,100024,3
tdr15sr,123,2036,4999,158,100020,3
tdr15sq,140,2902,4999,158,100024,3
