geo_hash,zone, rel_nfnv_prod_count,fnv_prod_count,prod_count,stores_count,sub_cat_count
tdr15rz,Zone 18 - Bangalore,346,166,3675,2,165
tdr15vf,Zone 18 - Bangalore,377,179,4734,2,182
tdr15vg,Zone 18 - Bangalore,377,179,4734,2,182
tdr15vr,Zone 18 - Bangalore,377,179,4734,2,182
tdr15vt,Zone 18 - Bangalore,377,179,4734,2,182
tdr15vu,Zone 18 - Bangalore,377,179,4734,2,182
tdr15vv,Zone 18 - Bangalore,377,179,4734,2,182
tdr15vw,Zone 18 - Bangalore,377,179,4734,2,182
tdr15vx,Zone 18 - Bangalore,443,179,5479,3,182
tdr15vy,Zone 18 - Bangalore,443,179,5479,3,182
tdr15vz,Zone 18 - Bangalore,443,179,5479,3,182
tdr15wg,Zone 18 - Bangalore,377,179,4734,2,182
tdr15wq,Zone 18 - Bangalore,377,179,4734,2,182
tdr15wr,Zone 18 - Bangalore,377,179,4734,2,182
tdr15wt,Zone 18 - Bangalore,377,179,4734,2,182
tdr15wu,Zone 18 - Bangalore,377,179,4734,2,182
tdr15wv,Zone 18 - Bangalore,377,179,4734,2,182
tdr15ww,Zone 18 - Bangalore,377,179,4734,2,182
tdr15wx,Zone 18 - Bangalore,377,179,4734,2,182
tdr15wy,Zone 18 - Bangalore,377,179,4734,2,182
tdr15wz,Zone 18 - Bangalore,377,179,4734,2,182
tdr15x2,Zone 18 - Bangalore,253,179,3459,1,168
tdr15x3,Zone 18 - Bangalore,352,179,4585,2,176
tdr15x4,Zone 18 - Bangalore,377,179,4734,2,182
tdr15x5,Zone 18 - Bangalore,377,179,4734,2,182
tdr15x6,Zone 18 - Bangalore,377,179,4734,2,182
tdr15x7,Zone 18 - Bangalore,377,179,4734,2,182
tdr15x8,Zone 18 - Bangalore,253,179,3459,1,168
tdr15x9,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xb,Zone 18 - Bangalore,346,166,3675,2,165
tdr15xc,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xd,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xe,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xf,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xg,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xh,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xj,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xk,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xm,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xn,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xp,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xq,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xr,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xs,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xt,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xu,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xv,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xw,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xx,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xy,Zone 18 - Bangalore,377,179,4734,2,182
tdr15xz,Zone 18 - Bangalore,377,179,4734,2,182
tdr15y0,Zone 18 - Bangalore,377,179,4734,2,182
tdr15y1,Zone 18 - Bangalore,377,179,4734,2,182
tdr15y2,Zone 18 - Bangalore,377,179,4734,2,182
tdr15y3,Zone 18 - Bangalore,377,179,4734,2,182
tdr15y4,Zone 18 - Bangalore,377,179,4734,2,182
tdr15y5,Zone 18 - Bangalore,377,179,4734,2,182
tdr15y6,Zone 18 - Bangalore,377,179,4734,2,182
tdr15y7,Zone 18 - Bangalore,377,179,4734,2,182
tdr15y8,Zone 18 - Bangalore,377,179,4734,2,182
tdr15y9,Zone 18 - Bangalore,377,179,4734,2,182
tdr15yb,Zone 18 - Bangalore,377,179,4734,2,182
tdr15yc,Zone 18 - Bangalore,377,179,4734,2,182
tdr15yd,Zone 18 - Bangalore,377,179,4734,2,182
tdr15ye,Zone 18 - Bangalore,443,179,5479,3,182
tdr15yf,Zone 18 - Bangalore,377,179,4734,2,182
tdr15yg,Zone 18 - Bangalore,443,179,5479,3,182
tdr15yh,Zone 18 - Bangalore,377,179,4734,2,182
tdr15yj,Zone 18 - Bangalore,443,179,5479,3,182
tdr15yk,Zone 18 - Bangalore,443,179,5479,3,182
tdr15ym,Zone 18 - Bangalore,443,179,5479,3,182
tdr15yn,Zone 18 - Bangalore,443,179,5479,3,182
tdr15yp,Zone 18 - Bangalore,443,179,5479,3,182
tdr15yq,Zone 18 - Bangalore,443,179,5479,3,182
tdr15yr,Zone 18 - Bangalore,443,179,5479,3,182
tdr15ys,Zone 18 - Bangalore,443,179,5479,3,182
tdr15yt,Zone 18 - Bangalore,443,179,5479,3,182
tdr15yu,Zone 18 - Bangalore,443,179,5479,3,182
tdr15yv,Zone 18 - Bangalore,443,179,5479,3,182
tdr15yw,Zone 18 - Bangalore,443,179,5479,3,182
tdr15yx,Zone 18 - Bangalore,443,179,5479,3,182
tdr15yy,Zone 18 - Bangalore,443,179,5479,3,182
tdr15yz,Zone 18 - Bangalore,443,179,5479,3,182
tdr15z0,Zone 18 - Bangalore,377,179,4734,2,182
tdr15z1,Zone 18 - Bangalore,377,179,4734,2,182
tdr15z2,Zone 18 - Bangalore,377,179,4734,2,182
tdr15z3,Zone 18 - Bangalore,377,179,4734,2,182
tdr15z4,Zone 18 - Bangalore,377,179,4734,2,182
tdr15z5,Zone 18 - Bangalore,443,179,5479,3,182
tdr15z6,Zone 18 - Bangalore,443,179,5479,3,182
tdr15z7,Zone 18 - Bangalore,443,179,5479,3,182
tdr15z8,Zone 18 - Bangalore,377,179,4734,2,182
tdr15z9,Zone 18 - Bangalore,377,179,4734,2,182
tdr15zb,Zone 18 - Bangalore,377,179,4734,2,182
tdr15zc,Zone 18 - Bangalore,377,179,4734,2,182
tdr15zd,Zone 18 - Bangalore,443,179,5479,3,182
tdr15ze,Zone 18 - Bangalore,443,179,5479,3,182
tdr15zf,Zone 18 - Bangalore,443,179,5479,3,182
tdr15zg,Zone 18 - Bangalore,443,179,5479,3,182
tdr15zh,Zone 18 - Bangalore,443,179,5479,3,182
tdr15zj,Zone 18 - Bangalore,443,179,5479,3,182
tdr15zk,Zone 18 - Bangalore,443,179,5479,3,182
tdr15zm,Zone 18 - Bangalore,443,179,5479,3,182
tdr15zn,Zone 18 - Bangalore,443,179,5479,3,182
tdr15zp,Zone 18 - Bangalore,443,179,5479,3,182
tdr15zq,Zone 18 - Bangalore,443,179,5479,3,182
tdr15zr,Zone 18 - Bangalore,443,179,5479,3,182
tdr15zs,Zone 18 - Bangalore,443,179,5479,3,182
tdr15zt,Zone 18 - Bangalore,443,179,5479,3,182
tdr15zu,Zone 18 - Bangalore,443,179,5479,3,182
tdr15zv,Zone 18 - Bangalore,443,179,5479,3,182
tdr15zw,Zone 18 - Bangalore,443,179,5479,3,182
tdr15zx,Zone 18 - Bangalore,443,179,5479,3,182
tdr15zy,Zone 18 - Bangalore,443,179,5479,3,182
tdr15zz,Zone 18 - Bangalore,443,179,5479,3,182
tdr16gy,Zone 20 - Bangalore,223,0,2047,1,133
tdr16gz,Zone 20 - Bangalore,223,0,2047,2,133
tdr16uj,Zone 20 - Bangalore,223,0,2047,1,133
tdr16um,Zone 20 - Bangalore,223,0,2047,1,133
tdr16un,Zone 20 - Bangalore,223,0,2047,1,133
tdr16up,Zone 20 - Bangalore,399,166,4295,2,161
tdr16uq,Zone 20 - Bangalore,223,0,2047,1,133
tdr16ur,Zone 20 - Bangalore,399,166,4295,2,161
tdr16us,Zone 20 - Bangalore,223,0,2047,1,133
tdr16ut,Zone 20 - Bangalore,223,0,2047,1,133
tdr16uu,Zone 20 - Bangalore,223,0,2047,1,133
tdr16uv,Zone 20 - Bangalore,399,166,4295,2,161
tdr16uw,Zone 20 - Bangalore,399,166,4295,2,161
tdr16ux,Zone 20 - Bangalore,399,166,4295,2,161
tdr16uy,Zone 20 - Bangalore,399,166,4295,2,161
